pBrakeF1,rThrottlePedal,vCar
0.8,5.4,112.5
0.8,5.2,112.3
0.9,5,112
0.9,4.8,111.7
0.9,5.4,111.5
0.7,6.8,111.3
0.6,8.2,111.1
0.5,9.7,110.9
0.4,11.1,110.7
0.4,13.3,110.5
0.3,15.6,110.4
0.3,18,110.3
0.2,20.2,110.3
0.2,22.3,110.3
0.2,23.7,110.3
0.2,25.1,110.4
0.2,26.6,110.5
0.2,28,110.5
0.2,29.4,110.6
0.2,30.7,110.8
0.1,31.9,110.9
0.1,33.2,111
0.1,34.6,111.2
0.1,36.1,111.4
0.1,37.9,111.7
0.1,39.7,112
0.1,41.5,112.2
0.1,43.4,112.5
0.1,45.4,112.8
0.1,47.6,113.2
0.1,49.8,113.6
0.1,52.1,114
0.1,54.5,114.4
0.1,57.1,115
0.1,59.8,115.5
0.1,62.5,116.1
0.1,65.1,116.6
0.1,67.8,117.1
0.1,70.6,117.8
0.1,73.3,118.4
0.1,76.1,119.1
0.1,78.9,119.8
0.1,81.6,120.5
0.1,84.3,121.3
0.1,86.9,122.1
0.1,89.6,122.9
0.1,92.2,123.6
0.1,94.5,124.5
0.1,96.5,125.3
0.1,98.4,126.2
0.1,99.9,127
0.1,100,127.9
0.1,100,128.8
0.1,100,129.6
0.1,100,130.5
0.1,100,131.3
0.1,100,132.1
0.1,100,133
0.1,100,133.8
0.1,100,134.6
0.1,100,135.3
0.1,100,136.1
0.1,100,136.9
0.1,100,137.7
0.1,100,138.5
0.1,99.8,139.3
0.1,98.7,140
0.1,97.5,140.7
0.1,96.4,141.5
0.1,94.1,142.2
0.1,90.9,142.8
0.1,86.9,143.3
0.1,83,143.9
0.1,79,144.5
0.1,75,145
0.1,70.8,145.4
0.1,66.7,145.7
0.1,62.5,146.1
0.1,58.6,146.4
0.1,55.3,146.6
0.1,52.3,146.8
0.1,49.3,146.9
0.1,46.3,147.1
0.1,43.5,147.2
0.1,41.4,147.3
0.1,39.3,147.4
0.1,37.3,147.4
0.1,35.8,147.4
0.1,34.8,147.4
0.1,33.9,147.4
0.1,33,147.4
0.1,32.2,147.3
0.1,31.6,147.3
0.1,31.5,147.3
0.1,31.5,147.2
0.1,31.5,147.2
0.1,31.8,147.1
